Rank,Name,Company,Annual.pay,Age
1,John H Hammergren,McKesson,131.19,53
2,Ralph Lauren,Ralph Lauren,66.65,72
3,Michael D Fascitelli,Vornado Realty,64.405,55
4,Richard D Kinder,Kinder Morgan,60.94,67
5,David M Cote,Honeywell,55.79,59
6,George Paz,Express Scripts,51.525,57
7,Jeffery H Boyd,Priceline.com,50.185,55
8,Stephen J Hemsley,UnitedHealth Group,48.835,59
9,Clarence P Cazalot Jr,Marathon Oil,43.71,61
10,John C Martin,Gilead Sciences,43.19,60
11,John D Wren,Omnicom Group,42.625,59
12,James Dimon,JPMorgan Chase & Co,41.995,56
13,Leslie Moonves,CBS,41.485,63
14,Howard D Schultz,Starbucks,41.47,58
15,John C Plant,TRW Automotive Holdings,41.095,58
16,David M Zaslav,Discovery Communications,40.745,52
17,Robert A Iger,Walt Disney,39.83,61
18,Richard C Adkerson,Freeport-McMoRan Copper & Gold,39.535,65
19,Timothy M Manganello,BorgWarner,39.27,61
20,Paul E Jacobs,Qualcomm,36.33,50
21,Stephen I Chazen,Occidental Petroleum,34.3,65
22,David E I Pyott,Allergan,33.82,59
23,John B Hess,Hess,33.2,58
24,Lew Frankfort,Coach,33.17,66
25,Louis C Camilleri,Philip Morris International,32.755,57
26,Joseph M Tucci,EMC,32.3,64
27,Philippe P Dauman,Viacom,30.89,58
28,David C Novak,Yum Brands,29.675,59
29,William R Berkley,WR Berkley,29.005,66
30,Gregg W Steinhafel,Target,28.625,56
31,Keith D Nosbusch,Rockwell Automation,27.18,61
32,Mortimer B Zuckerman,Boston Properties,27.055,73
33,Stephen F Angel,Praxair,26.48,57
34,Randall L Stephenson,AT&T,26,52
35,James T Hackett,Anadarko Petroleum,25.92,58
36,Alexander M Cutler,Eaton,25.84,60
37,Mark Donegan,Precision Castparts,25.62,54
38,Jay S Fishman,Travelers Cos,25.485,59
39,Frederick W Smith,FedEx,25.37,67
40,Irene B Rosenfeld,Kraft Foods,25.37,58
41,William P Sullivan,Agilent Technologies,24.84,63
42,K Rupert Murdoch,News Corp,24.79,81
43,Eric C Wiseman,VF,24.04,56
44,Michael A J Farrell,Annaly Capital Management,23.845,60
45,Laurence D Fink,BlackRock,23.38,59
46,Michael T Duke,Wal-Mart Stores,23.155,61
47,David B Snow Jr,Medco Health Solutions,22.195,57
48,Steve Ells,Chipotle Mexican Grill,21.785,46
49,Lloyd C Blankfein,Goldman Sachs Group,21.745,57
50,William R Johnson,HJ Heinz,21.61,63
51,Robert L Parkinson Jr,Baxter International,21.32,61
52,John F Brock,Coca-Cola Enterprises,21.18,63
53,Allen F Wise,Coventry Health Care,20.875,69
54,Alan R Mulally,Ford Motor,20.835,66
55,Michael Balmuth,Ross Stores,20.815,61
56,Frank R Martire,Fidelity National Information Services,20.785,63
57,Scott D Sheffield,Pioneer Natural Resources,20.05,59
58,David N Farr,Emerson Electric,19.99,57
59,Aubrey K McClendon,Chesapeake Energy,19.875,51
60,Michael J Ward,CSX,19.835,61
61,Robert E Beauchamp,BMC Software,19.83,52
62,Jeffrey L Bewkes,Time Warner,19.795,59
63,John F Lundgren,Stanley Black & Decker,19.77,60
64,Charles E Bunch,PPG Industries,19.66,62
65,Frank S Hermance,Ametek,19.34,63
66,H Lawrence Culp Jr,Danaher,19.26,49
67,Ian M Cook,Colgate-Palmolive,19.235,60
68,Robert J Stevens,Lockheed Martin,19.2,60
69,Francisco D'Souza,Cognizant Technology Solutions,19.095,43
70,Brian L Roberts,Comcast,18.775,52
71,Timothy M Ring,CR Bard,18.59,54
72,James E Rogers,Duke Energy,18.54,64
73,David J Lesar,Halliburton,18.395,59
74,Michael E Szymanczyk,Altria Group,17.855,63
75,Michael T Fries,Liberty Global,17.685,49
76,Frederick H Waddell,Northern Trust,17.68,59
77,Gregory C Case,Aon,17.545,49
78,Lewis Hay III,NextEra Energy,17.525,56
79,William H Swanson,Raytheon,17.455,63
80,G Steven Farris,Apache,17.365,64
81,Gale E Klappa,Wisconsin Energy,17.27,61
82,Miles D White,Abbott Laboratories,17.17,57
83,Daniel P Amos,Aflac,17.13,60
84,Thomas Georgens,NetApp,17.03,52
85,John D Finnegan,Chubb,16.84,63
86,C Larry Pope,Smithfield Foods,16.67,57
87,Glenn A Britt,Time Warner Cable,16.555,62
88,Carol M Meyrowitz,TJX Cos,16.545,58
89,Larry D Young,Dr Pepper Snapple Group,16.51,57
90,John W Conway,Crown Holdings,16.44,66
91,Donald E Washkewicz,Parker-Hannifin,16.24,61
92,Wayne T Smith,Community Health Systems,16.175,66
93,James H Herbert II,First Republic California,16.075,68
94,Michael W Sutherlin,Joy Global,15.84,65
95,James J Mulva,ConocoPhillips,15.615,65
96,John C Lechleiter,Eli Lilly & Co,15.57,58
97,J Brett Harvey,Consol Energy,15.525,61
98,Jen-Hsun Huang,Nvidia,15.445,49
99,John J Donahoe,Ebay,15.38,50
100,Richard K Templeton,Texas Instruments,15.36,53
101,Louis R Chenevert,United Technologies,15.33,54
102,J Wayne Leonard,Entergy,15.11,61
103,Mark C Pigott,Paccar,15.11,58
104,Larry J Merlo,CVS Caremark,15.03,56
105,Marc Holliday,SL Green,14.995,45
106,Lawrence J Ellison,Oracle,14.89,67
107,Timothy D Cook,Apple,14.826,51
108,Stephen A Wynn,Wynn Resorts,14.625,70
109,Gregory E Johnson,Franklin Resources,14.61,50
110,Muhtar Kent,Coca-Cola,14.47,59
111,Jerald G Fishman,Analog Devices,14.25,66
112,Stephen A Roell,Johnson Controls,14.22,62
113,Lawrence J Blanford,Green Mountain Coffee Roasters,14.22,58
114,Merrill A Miller Jr,National Oilwell Varco,14.185,61
115,John P Daane,Altera,14.11,48
116,Michael B McCallister,Humana,14.1,59
117,Hans Helmerich,Helmerich & Payne,14.01,53
118,Scott A McGregor,Broadcom,14.005,56
119,Sanjay K Jha,Motorola Mobility Holdings,14.005,49
120,Rex W Tillerson,ExxonMobil,13.915,59
121,Glen F Post III,CenturyLink,13.745,59
122,Gregory Q Brown,Motorola Solutions,13.7,52
123,William C Rhodes III,AutoZone,13.46,46
124,David M Cordani,Cigna,13.4,46
125,Kenneth W Lowe,Scripps Networks Interactive,13.365,61
126,W James McNerney Jr,Boeing,13.36,62
127,Steven H Temares,Bed Bath & Beyond,13.3,53
128,Joseph A Carrabba,Cliffs Natural Resources,13.3,59
129,James A Skinner,McDonald's,13.18,67
130,Richard H Anderson,Delta Air Lines,13.175,56
131,Indra K Nooyi,PepsiCo,13.12,56
132,David N Weidman,Celanese,13.02,56
133,James L Dolan,Cablevision Systems,12.975,56
134,Hugh Grant,Monsanto,12.84,54
135,James T Ryan,WW Grainger,12.75,53
136,Michael J Kasbar,World Fuel Services,12.725,56
137,Leonard Bell,Alexion Pharmaceuticals,12.715,53
138,James A Rubright,Rock-Tenn,12.65,65
139,Surya N Mohapatra,Quest Diagnostics,12.575,62
140,Daniel C Ustian,Navistar International,12.51,61
141,Andrea Jung,Avon Products,12.015,53
142,Sandeep Mathrani,General Growth Properties,11.98,50
143,Thomas F Farrell II,Dominion Resources,11.96,57
144,Wesley G Bush,Northrop Grumman,11.7,51
145,Alan B Miller,Universal Health Services,11.595,74
146,Patricia A Woertz,Archer Daniels Midland,11.5,59
147,Robert F Moran,Petsmart,11.435,61
148,John E McGlade,Air Products & Chemicals,11.36,58
149,Scott C Donnelly,Textron,11.31,50
150,John V Faraci,International Paper,11.315,62
151,James M Cracchiolo,Ameriprise Financial,11.17,54
152,James E Rohr,PNC Financial Services Group,11.14,63
153,John R Strangfeld Jr,Prudential Financial,11.13,58
154,Thomas J Falk,Kimberly-Clark,10.98,54
155,James A C Kennedy,T Rowe Price Group,10.95,59
156,Kenneth I Chenault,American Express,10.92,60
157,Kent J Thiry,DaVita,10.905,56
158,Virginia M Rometty,International Business Machines,10.886,55
159,Lamberto Andreotti,Bristol-Myers Squibb,10.85,61
160,Mark G Parker,NIKE,10.83,56
161,Joseph C Papa,Perrigo,10.74,56
162,Glenn M Renwick,Progressive,10.45,56
163,Jeffrey A Joerres,Manpower,10.45,52
164,Ronald L Havner Jr,Public Storage,10.45,54
165,Andrew N Liveris,Dow Chemical,10.415,58
166,James P Gorman,Morgan Stanley,10.395,52
167,Gary R Heminger,Marathon Petroleum,10.36,58
168,Charles W Moorman IV,Norfolk Southern,10.26,60
169,Terry J Lundgren,Macy's,10.025,60
170,Walter W Bettinger II,Charles Schwab,10.02,51
171,Mel Karmazin,Sirius XM Radio,9.915,69
172,David W Nelms,Discover Financial Services,9.88,51
173,Ellen J Kullman,EI du Pont de Nemours,9.73,56
174,George L Chapman,Health Care REIT,9.735,64
175,Kevin S Crutchfield,Alpha Natural Resources,9.735,50
176,Stephen P Holmes,Wyndham Worldwide Corporation,9.7,55
177,Sanjay Mehrotra,SanDisk,9.675,53
178,Sheldon G Adelson,Las Vegas Sands,9.565,78
179,Mark P Frissora,Hertz Global Holdings,9.545,56
180,Kevin Burke,Consolidated Edison,9.535,61
181,Fabrizio Freda,Estee Lauder Cos,9.52,54
182,Angela F Braly,WellPoint,9.495,50
183,Debra A Cafaro,Ventas,9.495,54
184,Charles D Davidson,Noble Energy,9.42,62
185,Gregory L Ebel,Spectra Energy,9.41,47
186,Brian D Jellison,Roper Industries,9.365,66
187,David J Neithercut,Equity Residential,9.335,56
188,Lowell C McAdam,Verizon Communications,9.326,58
189,Ronald L Sargent,Staples,9.325,56
190,Joseph L Hooley,State Street,9.215,54
191,Paul S Otellini,Intel,9.155,61
192,Kevin W Sharer,Amgen,9.15,64
193,John F Coyne,Western Digital,9.06,62
194,Gregory B Maffei,Liberty Interactive Group,8.975,51
195,James W Griffith,Timken,8.89,58
196,Bob Sasser,Dollar Tree,8.845,60
197,Gregory H Boyce,Peabody Energy,8.8,57
198,Timothy E Guertin,Varian Medical Systems,8.76,63
199,Peter R Huntsman,Huntsman,8.72,49
200,Blake W Nordstrom,Nordstrom,8.695,51
201,David M McClanahan,CenterPoint Energy,8.67,62
202,Alex Gorsky,Johnson & Johnson,8.646,51
203,James T Prokopanko,Mosaic,8.63,58
204,Ian C Read,Pfizer,8.58,59
205,Michael J Jackson,AutoNation,8.565,63
206,Darren R Jackson,Advance Auto Parts,8.515,48
207,John Richels,Devon Energy,8.495,61
208,Paul C Varga,Brown-Forman,8.49,48
209,Emanuel Chirico,PVH,8.475,54
210,Richard B Handler,Jefferies Group,8.305,50
211,Samuel R Allen,Deere & Co,8.3,58
212,James D Taiclet Jr,American Tower,8.285,51
213,Thomas J Quinlan III,RR Donnelley & Sons,8.205,49
214,Richard J Kramer,Goodyear Tire & Rubber,8.19,48
215,Michael T Strianese,L-3 Communications Holdings,8.16,56
216,Joseph W Saunders,Visa,8.13,49
217,Clayton M Jones,Rockwell Collins,8.09,62
218,John G Stumpf,Wells Fargo,7.93,58
219,William P Utt,KBR,7.9,55
220,David P King,Laboratory Corp of America,7.89,55
221,Timothy J Naughton,Avalonbay Communities,7.865,50
222,John S Watson,Chevron,7.805,55
223,Kevin R Johnson,Juniper Networks,7.78,51
