House,concentration,Situation
1,0.07,Indoor
2,0.08,Indoor
3,0.09,Indoor
4,0.12,Indoor
5,0.12,Indoor
6,0.12,Indoor
7,0.13,Indoor
8,0.14,Indoor
9,0.15,Indoor
10,0.15,Indoor
11,0.17,Indoor
12,0.17,Indoor
13,0.18,Indoor
14,0.18,Indoor
15,0.18,Indoor
16,0.18,Indoor
17,0.19,Indoor
18,0.20,Indoor
19,0.22,Indoor
20,0.22,Indoor
21,0.23,Indoor
22,0.23,Indoor
23,0.25,Indoor
24,0.26,Indoor
25,0.28,Indoor
26,0.28,Indoor
27,0.29,Indoor
28,0.34,Indoor
29,0.39,Indoor
30,0.40,Indoor
31,0.45,Indoor
32,0.54,Indoor
33,0.62,Indoor
1,0.29,Outdoor
2,0.09,Outdoor
3,0.47,Outdoor
4,0.54,Outdoor
5,0.97,Outdoor
6,0.35,Outdoor
7,0.49,Outdoor
8,0.84,Outdoor
9,0.86,Outdoor
10,0.28,Outdoor
11,0.32,Outdoor
12,0.32,Outdoor
13,1.55,Outdoor
14,0.66,Outdoor
15,0.29,Outdoor
16,0.21,Outdoor
17,1.02,Outdoor
18,1.59,Outdoor
19,0.90,Outdoor
20,0.52,Outdoor
21,0.12,Outdoor
22,0.54,Outdoor
23,0.88,Outdoor
24,0.49,Outdoor
25,1.24,Outdoor
26,0.48,Outdoor
27,0.27,Outdoor
28,0.37,Outdoor
29,1.26,Outdoor
30,0.70,Outdoor
31,0.76,Outdoor
32,0.99,Outdoor
33,0.36,Outdoor
