Wireless,Region,State
13.9,M,AL
11.7,W,AK
18.9,W,AZ
22.6,M,AR
9.0,W,CA
16.7,W,CO
5.6,E,CN
5.7,E,DE
20.0,E,DC
16.8,E,FL
16.5,E,GA
8.0,W,HI
22.1,W,ID
16.5,M,IL
13.8,M,IN
22.2,M,IA
16.8,M,KA
21.4,M,KY
15.0,M,LA
13.4,E,ME
10.8,E,MD
9.3,E,MA
16.3,M,MI
17.4,M,MN
19.1,M,MS
9.9,M,MO
9.2,W,MT
23.2,M,NE
10.8,W,NV
16.9,M,ND
11.6,E,NH
8.0,E,NJ
21.1,W,NM
11.4,E,NY
16.3,E,NC
14.0,E,OH
23.2,M,OK
17.7,W,OR
10.8,E,PA
7.9,E,RI
20.6,E,SC
6.4,M,SD
20.3,M,TN
20.9,M,TX
25.5,W,UT
10.8,E,VA
5.1,E,VT
16.3,W,WA
11.6,E,WV
15.2,M,WI
11.4,W,WY
